lat,lon,walkability
62.458713,6.084668,0.1344181
62.458713,6.085468,0.156174785
62.458713,6.086268,0.176979388
62.458713,6.087068,0.191841935
62.458713,6.087868,0.192837249
62.458713,6.088668,0.194757583
62.458713,6.089468,0.194997474
62.458713,6.090268,0.178741665
62.458713,6.091068,0.157247752
62.458713,6.091868,0.135692257
62.458713,6.092668,0.113554635
62.458713,6.093468,0.092004446
62.458713,6.094268,0.073282899
62.458713,6.095068,0.057730525
62.458713,6.095868,0.041350545
62.458713,6.096668,0.034792368
62.458713,6.123068,0.040690832
62.458713,6.123868,0.061550729
62.458713,6.124668,0.099291429
62.458713,6.125468,0.144547726
62.458713,6.126268,0.191994112
62.458713,6.127068,0.241558308
62.458713,6.127868,0.287119279
62.458713,6.128668,0.33091637
62.458713,6.129468,0.355254089
62.458713,6.130268,0.357117473
62.458713,6.131068,0.356742153
62.458713,6.131868,0.339914478
62.458713,6.132668,0.333313655
62.458713,6.133468,0.320298647
62.458713,6.134268,0.29617564
62.458713,6.135068,0.262210521
62.458713,6.135868,0.2228959
62.458713,6.136668,0.179307142
62.458713,6.137468,0.135878791
62.458713,6.138268,0.090895042
62.458713,6.139068,0.059955776
62.458713,6.139868,0.035248852
62.458713,6.158268,0.030559842
62.458713,6.159068,0.050374975
62.458713,6.159868,0.068350458
62.458713,6.160668,0.089107074
62.458713,6.161468,0.108233649
62.458713,6.162268,0.124839574
62.458713,6.163068,0.13994275
62.458713,6.163868,0.152557385
62.458713,6.164668,0.157717534
62.458713,6.165468,0.15694561
62.458713,6.166268,0.146269799
62.458713,6.167068,0.132358001
62.458713,6.167868,0.118467434
62.458713,6.168668,0.104186671
62.458713,6.169468,0.084515365
62.458713,6.170268,0.065824901
62.458713,6.171068,0.044624884
62.458713,6.245468,0.032515204
62.458713,6.246268,0.045884578
62.458713,6.247068,0.058383421
62.458713,6.247868,0.071416717
62.458713,6.248668,0.080346344
62.458713,6.249468,0.086134354
62.458713,6.250268,0.088284772
62.458713,6.251068,0.088019187
62.458713,6.251868,0.082926835
62.458713,6.252668,0.104506372
62.458713,6.253468,0.13780788
62.458713,6.254268,0.176129812
62.458713,6.255068,0.211493311
62.458713,6.255868,0.246240925
62.458713,6.256668,0.277618184
62.458713,6.257468,0.306463173
62.458713,6.258268,0.342414336
62.458713,6.259068,0.368961478
62.458713,6.259868,0.362942262
62.458713,6.260668,0.332338533
62.458713,6.261468,0.300701582
62.458713,6.262268,0.266228187
62.458713,6.263068,0.228168399
62.458713,6.263868,0.187091005
62.458713,6.264668,0.144170155
62.458713,6.265468,0.118120129
62.458713,6.266268,0.112978341
62.458713,6.267068,0.12305372
62.458713,6.267868,0.141344032
62.458713,6.268668,0.152004694
62.458713,6.269468,0.157413777
62.458713,6.270268,0.156518896
62.458713,6.271068,0.148409382
62.458713,6.271868,0.146966442
62.458713,6.272668,0.142328045
62.458713,6.273468,0.141036406
62.458713,6.274268,0.147922387
62.458713,6.275068,0.147787286
62.458713,6.275868,0.137941645
62.458713,6.276668,0.118137271
62.458713,6.277468,0.097574063
62.458713,6.278268,0.084655145
62.458713,6.279068,0.064892349
62.458713,6.279868,0.050439093
62.458713,6.280668,0.036683871
62.458713,6.335068,0.040261706
62.458713,6.335868,0.04897143
62.458713,6.336668,0.057230342
62.458713,6.337468,0.062348571
62.458713,6.338268,0.064952253
62.458713,6.339068,0.061810519
62.458713,6.339868,0.056284762
62.458713,6.340668,0.048745916
62.458713,6.341468,0.039197576
62.458713,6.348668,0.039826024
62.458713,6.349468,0.062482891
62.458713,6.350268,0.084211624
62.458713,6.351068,0.106359445
62.458713,6.351868,0.13025945
62.458713,6.352668,0.154937788
62.458713,6.353468,0.18244832
62.458713,6.354268,0.203764596
62.458713,6.355068,0.225266039
62.458713,6.355868,0.254665017
62.458713,6.356668,0.283979767
62.458713,6.357468,0.324172304
62.458713,6.358268,0.339348143
62.458713,6.359068,0.352066623
62.458713,6.359868,0.361723342
62.458713,6.360668,0.377454604
62.458713,6.361468,0.383927771
62.458713,6.362268,0.394538181
62.458713,6.363068,0.39039595
62.458713,6.363868,0.375889825
62.458713,6.364668,0.346972199
62.458713,6.365468,0.314490748
62.458713,6.366268,0.298780123
62.458713,6.367068,0.292490682
62.458713,6.367868,0.274745434
62.458713,6.368668,0.27130623
62.458713,6.369468,0.259669538
62.458713,6.370268,0.242908249
62.458713,6.371068,0.217563952
62.458713,6.371868,0.198007968
62.458713,6.372668,0.181876578
62.458713,6.373468,0.158374666
62.458713,6.374268,0.128301624
62.458713,6.375068,0.09688878
62.458713,6.375868,0.079484058
62.458713,6.376668,0.067661699
62.458713,6.377468,0.056998278
62.458713,6.378268,0.045240829
62.458713,6.379068,0.031051298
62.459113,6.084668,0.131985511
62.459113,6.085468,0.154238649
62.459113,6.086268,0.176472177
62.459113,6.087068,0.198159545
62.459113,6.087868,0.186994124
62.459113,6.088668,0.175182134
62.459113,6.089468,0.196600042
62.459113,6.090268,0.183796108
62.459113,6.091068,0.162378199
62.459113,6.091868,0.141413805
62.459113,6.092668,0.122506952
62.459113,6.093468,0.106073351
62.459113,6.094268,0.090479866
62.459113,6.095068,0.074553402
62.459113,6.095868,0.064610086
62.459113,6.096668,0.05854319
62.459113,6.097468,0.052476294
62.459113,6.098268,0.046862913
62.459113,6.099068,0.041284866
62.459113,6.099868,0.035706896
62.459113,6.100668,0.030128926
62.459113,6.120668,0.033654163
62.459113,6.121468,0.041224592
62.459113,6.122268,0.048369611
62.459113,6.123068,0.057875275
62.459113,6.123868,0.082154374
62.459113,6.124668,0.108002696
62.459113,6.125468,0.144909777
62.459113,6.126268,0.192939345
62.459113,6.127068,0.238294455
62.459113,6.127868,0.28350829
62.459113,6.128668,0.324774081
62.459113,6.129468,0.346975591
62.459113,6.130268,0.348867482
62.459113,6.131068,0.341883888
62.459113,6.131868,0.342547039
62.459113,6.132668,0.344607264
62.459113,6.133468,0.339294818
62.459113,6.134268,0.314403003
62.459113,6.135068,0.275477073
62.459113,6.135868,0.231494592
62.459113,6.136668,0.186616069
62.459113,6.137468,0.141817917
62.459113,6.138268,0.096825602
62.459113,6.139068,0.06603315
62.459113,6.139868,0.040729876
62.459113,6.158268,0.041011866
62.459113,6.159068,0.06063518
62.459113,6.159868,0.079804748
62.459113,6.160668,0.099715367
62.459113,6.161468,0.1195305
62.459113,6.162268,0.139207601
62.459113,6.163068,0.157857529
62.459113,6.163868,0.173641242
62.459113,6.164668,0.182575932
62.459113,6.165468,0.181150142
62.459113,6.166268,0.168875555
62.459113,6.167068,0.154109402
62.459113,6.167868,0.139241635
62.459113,6.168668,0.120583836
62.459113,6.169468,0.09976477
62.459113,6.170268,0.078643325
62.459113,6.171068,0.055440934
62.459113,6.171868,0.03405007
62.459113,6.247068,0.038114472
62.459113,6.247868,0.049770454
62.459113,6.248668,0.057821829
62.459113,6.249468,0.062286415
62.459113,6.250268,0.065132368
62.459113,6.251068,0.064592468
62.459113,6.251868,0.061514153
